Approved Symbol	Entrez Gene ID	Ensembl Gene ID	RefSeq IDs
A1BG	1	ENSG00000121410	NM_130786
A1BG-AS1	503538	ENSG00000268895	NR_015380
A1CF	29974	ENSG00000148584	NM_014576
A2M	2	ENSG00000175899	NM_000014
A2M-AS1	144571	ENSG00000245105	NR_026971
A2ML1	144568	ENSG00000166535	NM_144670
A2ML1-AS1		ENSG00000256661	
A2ML1-AS2		ENSG00000256904	
A2MP1	3	ENSG00000256069	NG_001067
A3GALT2	127550	ENSG00000184389	NM_001080438
A4GALT	53947	ENSG00000128274	NM_017436
A4GNT	51146	ENSG00000118017	NM_016161
AAAS	8086	ENSG00000094914	
AACS	65985	ENSG00000081760	NM_023928
AACSP1	729522	ENSG00000250420	NR_024035
AADAC	13	ENSG00000114771	NM_001086
AADACL2	344752	ENSG00000197953	NM_207365
AADACL2-AS1	101928142	ENSG00000242908	
AADACL3	126767	ENSG00000188984	NM_001103170
AADACL4	343066	ENSG00000204518	NM_001013630
AADACP1	201651	ENSG00000240602	
AADAT	51166	ENSG00000109576	NM_016228
AAGAB	79719	ENSG00000103591	NM_024666
AAK1	22848	ENSG00000115977	NM_014911
AAMDC	28971	ENSG00000087884	NM_024684
AAMP	14	ENSG00000127837	NM_001087
AANAT	15	ENSG00000129673	NM_001088
AAR2	25980	ENSG00000131043	NM_015511
AARD	441376	ENSG00000205002	NM_001025357
AARS	16	ENSG00000090861	NM_001605
AARS2	57505	ENSG00000124608	NM_020745
AARSD1	80755	ENSG00000266967	NM_001261434
AARSP1		ENSG00000249038	
AASDH	132949	ENSG00000157426	NM_181806
AASDHPPT	60496	ENSG00000149313	NM_015423
AASS	10157	ENSG00000008311	NM_005763
AATBC	284837	ENSG00000215458	NR_026961
AATF	26574	ENSG00000275700	NM_012138
AATK	9625	ENSG00000181409	NM_004920
AAVS1	17		
ABALON	103021294	ENSG00000281376	NR_131907
ABAT	18	ENSG00000183044	NM_020686
ABCA1	19	ENSG00000165029	NM_005502
ABCA2	20	ENSG00000107331	NM_001606
ABCA3	21	ENSG00000167972	NM_001089
ABCA4	24	ENSG00000198691	NM_000350
ABCA5	23461	ENSG00000154265	NM_018672
ABCA6	23460	ENSG00000154262	NM_080284
ABCA7	10347	ENSG00000064687	NM_019112
ABCA8	10351	ENSG00000141338	NM_007168
ABCA9	10350	ENSG00000154258	NM_172386
ABCA9-AS1		ENSG00000231749	
ABCA10	10349	ENSG00000154263	NM_080282
ABCA11P	79963	ENSG00000251595	NR_002451.2
ABCA12	26154	ENSG00000144452	NM_173076
ABCA13	154664	ENSG00000179869	NM_152701
ABCA17P	650655	ENSG00000238098	NR_003574
ABCB1	5243	ENSG00000085563	NM_000927
ABCB4	5244	ENSG00000005471	NM_000443
ABCB5	340273	ENSG00000004846	NM_178559
ABCB6	10058	ENSG00000115657	NM_005689
ABCB7	22	ENSG00000131269	NM_004299
ABCB8	11194	ENSG00000197150	NM_007188
ABCB9	23457	ENSG00000150967	NM_019624
ABCB10	23456	ENSG00000135776	NM_012089
ABCB10P1	56476	ENSG00000274099	NG_005041
ABCB10P3	728248	ENSG00000261524	NG_022122
ABCB10P4	100132289	ENSG00000260053	NG_022102
ABCB11	8647	ENSG00000073734	NM_003742
ABCC1	4363	ENSG00000103222	NM_004996
ABCC2	1244	ENSG00000023839	NM_000392
ABCC3	8714	ENSG00000108846	NM_020038
ABCC4	10257	ENSG00000125257	NM_005845
ABCC5	10057	ENSG00000114770	NM_005688
ABCC5-AS1		ENSG00000223882	
ABCC6	368	ENSG00000091262	
ABCC6P1	653190	ENSG00000256340	NR_003569
ABCC6P2	730013	ENSG00000255277	NR_023387
ABCC8	6833	ENSG00000006071	NM_000352
ABCC9	10060	ENSG00000069431	NM_005691
ABCC10	89845	ENSG00000124574	NM_033450
ABCC11	85320	ENSG00000121270	NM_032583
ABCC12	94160	ENSG00000140798	NM_033226
ABCC13	150000	ENSG00000243064	
ABCD1	215	ENSG00000101986	NM_000033
ABCD1P1	23785		
ABCD1P2	26983	ENSG00000215151	
ABCD1P3	26982	ENSG00000261233	
ABCD1P4	26957	ENSG00000225293	
ABCD1P5	642762	ENSG00000214330	
